"original_country","fem","sec","tert","grad","with_kids1","commute_20","commute_60"
"Australia",48.9347079037801,20.6185567010309,33.5395189003436,45.8419243986254,44.8726772195458,14.8453608247423,56.5635738831615
"Austria",50.076103500761,54.9467275494673,22.2222222222222,22.8310502283105,24.6575342465754,18.1126331811263,43.6834094368341
"Brazil",51.2261580381471,74.3869209809264,18.9373297002725,6.6757493188011,43.0517711171662,24.1144414168937,49.7275204359673
"Canada",48.9385474860335,37.3184357541899,33.5195530726257,29.1620111731844,NA,25.2513966480447,42.4581005586592
"China",48.6286919831224,10.3902953586498,76.6350210970464,12.9746835443038,58.6061246040127,8.12236286919832,68.3544303797468
"Egypt",23.8095238095238,14.484126984127,67.8571428571428,17.6587301587302,72.8174603174603,13.2936507936508,61.1111111111111
"France",47.6261127596439,46.7359050445105,33.8278931750742,19.4362017804155,40.9539473684211,25.5192878338279,37.4629080118695
"Germany",49.4853523357086,70.0316706254947,9.34283452098178,20.6254948535233,21.9319081551861,20.8234362628661,40.0237529691211
"Greece",46.969696969697,24.0447957839262,30.2371541501976,45.7180500658762,40.3631284916201,25.9552042160738,41.0408432147563
"Hungary",50.8328192473781,60.1480567550894,16.1628624305984,23.6890808143122,31.6471314003701,24.9228871067242,43.676742751388
"India",48.3505154639175,9.0721649484536,12.5773195876289,78.3505154639175,63.5706914344685,11.9587628865979,70.6185567010309
"Italy",50.9677419354839,33.6559139784946,40.8602150537634,25.4838709677419,NA,28.3870967741936,31.8279569892473
"Japan",48.4848484848485,42.7489177489177,49.2424242424242,8.008658008658,NA,20.6709956709957,56.9264069264069
"Korea",47.2861085556578,4.87580496780129,61.1775528978841,33.9466421343146,NA,10.9475620975161,68.3532658693652
"Malaysia",50.9881422924901,17.3913043478261,48.6166007905138,33.9920948616601,NA,13.3399209486166,52.5691699604743
"Netherlands",45.2391595887349,18.6857398301296,53.4644613321412,27.8497988377291,32.7069351230425,16.5400089405454,52.0339740724184
"Poland",51.2282804074296,58.7177950868784,15.1587777112043,26.1234272019173,50.1278772378517,26.4230077890953,36.9083283403236
"Russia",50.9533898305085,5.72033898305084,28.0720338983051,66.2076271186441,55.779427359491,14.8305084745763,56.6737288135593
"Serbia",53.6692223439211,34.9397590361446,23.3296823658269,41.7305585980285,39.6703296703297,23.2201533406353,38.6637458926616
"Singapore",48.3033932135729,10.1796407185629,36.9261477045908,52.8942115768463,NA,3.2934131736527,82.2355289421158
"Spain",50.330250990753,20.6076618229855,44.1215323645971,35.2708058124174,36.5918097754293,23.117569352708,36.1955085865258
"Sweden",56.71768707483,51.1054421768707,27.3384353741497,21.5561224489796,38.8250319284802,24.0646258503401,40.4336734693878
"Taiwan",50.2369668246446,10.1421800947867,72.60663507109,17.2511848341232,NA,19.8104265402844,46.1611374407583
"Turkey",48.2739105829089,2.99943406904354,21.1092246745897,75.8913412563667,63.3635334088335,12.110922467459,58.4606677985286
"UK",46.9020652898068,35.3764157228514,29.0473017988008,35.5762824783477,33.1778814123917,20.7861425716189,48.0346435709527
"USA",49.5911495911496,51.2265512265512,28.1866281866282,20.5868205868206,32.0500481231954,28.7638287638288,31.8422318422319
"Ukraine",46.3768115942028,26.7826086956522,23.0724637681159,50.1449275362319,50.4352872896112,13.3333333333333,55.6521739130435
